sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.9985,162.16645610268165,19.215384355759845,131.41519841849592,161.8588748524281,194.43438362251953,162.3302459716797,12.932867695179642,1.103534516865248,0.0006201019656939256,predictive
0.5,120.0,0.98945,162.16645610268165,19.215384355759845,131.41519841849592,161.8588748524281,194.43438362251953,162.3302459716797,12.932867695179642,1.103534516865248,0.0006201019656939256,predictive
0.5,131.0,0.95215,162.16645610268165,19.215384355759845,131.41519841849592,161.8588748524281,194.43438362251953,162.3302459716797,12.932867695179642,1.103534516865248,0.0006201019656939256,predictive
1.0,110.0,0.9631,163.03227816570393,31.255357245880315,114.02298358512017,161.674884921442,217.09496836339412,163.0186309814453,10.454551312119241,1.103509738910561,0.0007620055565204188,predictive
1.0,120.0,0.92225,163.03227816570393,31.255357245880315,114.02298358512017,161.674884921442,217.09496836339412,163.0186309814453,10.454551312119241,1.103509738910561,0.0007620055565204188,predictive
1.0,131.0,0.8478,163.03227816570393,31.255357245880315,114.02298358512017,161.674884921442,217.09496836339412,163.0186309814453,10.454551312119241,1.103509738910561,0.0007620055565204188,predictive
2.0,110.0,0.8086,163.49700904053128,60.86618238156808,69.84097779223843,160.5065602509929,269.8114385568541,163.43475341796875,4.8931214372793415,1.1033210267526137,0.001361652971210573,predictive
2.0,120.0,0.75755,163.49700904053128,60.86618238156808,69.84097779223843,160.5065602509929,269.8114385568541,163.43475341796875,4.8931214372793415,1.1033210267526137,0.001361652971210573,predictive
2.0,131.0,0.69385,163.49700904053128,60.86618238156808,69.84097779223843,160.5065602509929,269.8114385568541,163.43475341796875,4.8931214372793415,1.1033210267526137,0.001361652971210573,predictive
3.0,110.0,0.7051,162.9560368002136,94.02524268760924,18.88614914076998,156.07424347629117,326.64089051757867,162.9597930908203,1.8553309150188335,1.1028967343216778,0.0021602751684295218,predictive
3.0,120.0,0.6615,162.9560368002136,94.02524268760924,18.88614914076998,156.07424347629117,326.64089051757867,162.9597930908203,1.8553309150188335,1.1028967343216778,0.0021602751684295218,predictive
3.0,131.0,0.6153,162.9560368002136,94.02524268760924,18.88614914076998,156.07424347629117,326.64089051757867,162.9597930908203,1.8553309150188335,1.1028967343216778,0.0021602751684295218,predictive
