model_id,output,input,prcc,p_value,abs_prcc,sign
data-mono,iteration2_max_global_stress,E_slope,0.5658958872022609,3.880345617102088e-172,0.5658958872022609,+
data-mono,iteration2_max_global_stress,E_intercept,0.9258658367203078,0.0,0.9258658367203078,+
data-mono,iteration2_max_global_stress,nu,0.5615862960575891,5.336618921665432e-169,0.5615862960575891,+
data-mono,iteration2_max_global_stress,alpha_base,0.728373783899989,0.0,0.728373783899989,+
data-mono,iteration2_max_global_stress,alpha_slope,0.4818155701582919,1.9708192244348766e-118,0.4818155701582919,+
data-mono,iteration2_max_global_stress,SS316_T_ref,0.40172582255446804,1.495760097312733e-79,0.40172582255446804,+
data-mono,iteration2_max_global_stress,SS316_k_ref,-0.5543996365999191,7.231677850066467e-164,0.5543996365999191,-
data-mono,iteration2_max_global_stress,SS316_alpha,-0.019115177386468764,0.3894693244954299,0.019115177386468764,-
data-mono,iteration2_keff,E_slope,-0.024950441601377868,0.2612844093762121,0.024950441601377868,-
data-mono,iteration2_keff,E_intercept,0.039619044994041244,0.07438828843403587,0.039619044994041244,+
data-mono,iteration2_keff,nu,-0.19010034934078016,5.793461725097238e-18,0.19010034934078016,-
data-mono,iteration2_keff,alpha_base,-0.8830921362254586,0.0,0.8830921362254586,-
data-mono,iteration2_keff,alpha_slope,-0.7076849417354811,3.835651925910586e-308,0.7076849417354811,-
data-mono,iteration2_keff,SS316_T_ref,-0.07233434494331582,0.0011120710549425879,0.07233434494331582,-
data-mono,iteration2_keff,SS316_k_ref,0.11904948825816629,7.517259898533165e-08,0.11904948825816629,+
data-mono,iteration2_keff,SS316_alpha,-0.0805865461437838,0.0002794416552062694,0.0805865461437838,-
