level,output,iter,MAE,RMSE,R2,PICP90,MPIW90,CRPS
3,iteration1_keff,iter1,0.002809290774166584,0.0035595428198575974,-3585705728.0,1.0,0.042115278930586794,0.003398808862493197
3,iteration1_avg_fuel_temp,iter1,3.2311909198760986,4.133696556091309,0.804908812046051,0.9257950530035336,13.664960887691274,2.2608961895551736
3,iteration1_max_fuel_temp,iter1,5.669464111328125,7.179650783538818,0.8037201166152954,0.9222614840989399,23.870417334563967,3.958345881019965
3,iteration1_max_monolith_temp,iter1,6.555769920349121,8.330390930175781,0.80142742395401,0.9328621908127208,28.097831916354917,4.589801537444105
3,iteration1_max_global_stress,iter1,8.554342269897461,11.246750831604004,0.937307596206665,0.9646643109540636,43.92954844572102,6.159707578508935
3,iteration1_monolith_new_temperature,iter1,1.072165608406067,1.3968768119812012,0.8095524907112122,0.9293286219081273,4.578394277003211,0.7495372992389456
3,iteration1_Hcore_after,iter1,0.022667335346341133,0.027766257524490356,0.9769058227539062,0.9929328621908127,0.18787023705254882,0.019093815455767653
3,iteration1_wall2,iter1,0.0015630823327228427,0.00214872183278203,0.9921862483024597,0.9964664310954063,0.014160758180527396,0.0013568055743396583
3,iteration2_keff,iter2,0.00021447772451210767,0.00026903158868663013,0.8769555687904358,0.9293286219081273,0.0010977338835531192,0.00015708483478145258
3,iteration2_avg_fuel_temp,iter2,1.8780869245529175,2.4007461071014404,0.6215082406997681,0.901060070671378,7.726701479094913,1.3344148165365897
3,iteration2_max_fuel_temp,iter2,3.510984182357788,4.438344955444336,0.6230392456054688,0.9081272084805654,14.42111275034099,2.4832075665446993
3,iteration2_max_monolith_temp,iter2,3.95119309425354,5.012261867523193,0.6228048801422119,0.9222614840989399,16.35619006107375,2.8056816057171727
3,iteration2_max_global_stress,iter2,6.2104315757751465,7.992481708526611,0.9379794597625732,0.9469964664310954,31.178333546246115,4.451164033898524
3,iteration2_monolith_new_temperature,iter2,0.5257801413536072,0.6773939728736877,0.6270360946655273,0.9257950530035336,2.1687039016099448,0.37013861353173216
3,iteration2_Hcore_after,iter2,0.08845681697130203,1.215124249458313,0.04571735858917236,0.9964664310954063,0.38031704579731923,0.10166720734156919
3,iteration2_wall2,iter2,0.0014677688013762236,0.00196920707821846,0.9932950139045715,1.0,0.013849842876689557,0.0013050462981700425
