level,output,input,rank_by_ST,ST_mean,ST_ci_low,ST_ci_high,S1_raw_mean,S1_ci_low,S1_ci_high,interpretation_label
0,iteration2_max_global_stress,E_intercept,1,0.7460913896560669,0.7226454098528137,0.7695373694593202,0.710869413614273,0.7027951042733772,0.7189437229551688,stable dominant contributor
0,iteration2_max_global_stress,alpha_base,2,0.1216646797955036,0.1189507387026835,0.1243786208883237,0.0903319656848907,0.0693118496791612,0.1113520816906202,stable dominant contributor
0,iteration2_max_global_stress,nu,3,0.0584863452240824,0.0569937708315883,0.0599789196165766,0.0444829374551773,0.0254057864781023,0.0635600884322522,stable dominant contributor
0,iteration2_keff,alpha_base,1,0.7637634962797165,0.7495674106751316,0.7779595818843015,0.7396311223506927,0.7330651300720705,0.7461971146293149,stable dominant contributor
0,iteration2_keff,alpha_slope,2,0.1657382875680923,0.1606166916304138,0.1708598835057708,0.1594488501548767,0.1438020462040475,0.1750956541057058,stable dominant contributor
0,iteration2_keff,nu,3,0.0461634011939168,0.0443154459427427,0.0480113564450908,0.037560561299324,0.0213723098953547,0.0537488127032933,stable dominant contributor
2,iteration2_max_global_stress,SS316_k_ref,1,0.5310309708118439,0.5165133343650297,0.5455486072586582,0.5286417216062546,0.5156086354773511,0.541674807735158,stable dominant contributor
2,iteration2_max_global_stress,E_intercept,2,0.1969537518918514,0.1911168174291756,0.2027906863545272,0.2024162501096725,0.1802228303442506,0.2246096698750944,stable dominant contributor
2,iteration2_max_global_stress,SS316_T_ref,3,0.1303712081164121,0.1272618460592223,0.133480570173602,0.1281433820724487,0.1085589096138997,0.1477278545309977,stable dominant contributor
2,iteration2_keff,alpha_base,1,0.5165692776441574,0.503293056171358,0.5298454991169568,0.480525329709053,0.4657134839529449,0.4953371754651612,stable dominant contributor
2,iteration2_keff,SS316_k_ref,2,0.3436201602220535,0.3310461678386537,0.3561941526054534,0.1554842561483383,0.1351976162613555,0.1757708960353211,stable dominant contributor
2,iteration2_keff,SS316_T_ref,3,0.1574042461812496,0.1519436720499558,0.1628648203125433,-0.0009870171546936,-0.0243005547804657,0.0223265204710785,stable dominant contributor
