model_id,noise_frac,param,n_cases,mean_post_std,mean_ci90_half_width,mean_rel_ci90_half_width,coverage_90ci_true,mean_accept_rate
bnn-phy-mono,0.005,E_intercept,6,12638529117.299887,20746418011.51855,1.0409172934250293,1.0,0.5818888888888889
bnn-phy-mono,0.005,alpha_base,6,9.60967862903223e-07,1.6053402517191656e-06,1.574649748766216,1.0,0.5818888888888889
bnn-phy-mono,0.005,alpha_slope,6,5.148727761123621e-10,8.446601870255464e-10,1.655573094343546,1.0,0.5818888888888889
bnn-phy-mono,0.005,SS316_k_ref,6,1.682922901397366,2.742210347791422,1.2088275717108592,1.0,0.5818888888888889
bnn-phy-mono,0.01,E_intercept,6,13384935873.723673,21952130481.243214,1.1014119272426741,1.0,0.5920833333333334
bnn-phy-mono,0.01,alpha_base,6,1.0029743454924867e-06,1.666498573987247e-06,1.6346388611623375,1.0,0.5920833333333334
bnn-phy-mono,0.01,alpha_slope,6,4.927617671678351e-10,8.128959810397058e-10,1.5933137791761869,1.0,0.5920833333333334
bnn-phy-mono,0.01,SS316_k_ref,6,2.0218559297728027,3.33662812267371,1.4708602038798133,1.0,0.5920833333333334
bnn-phy-mono,0.02,E_intercept,6,13597867199.66304,22120842272.586414,1.1098767630093276,1.0,0.6039722222222222
bnn-phy-mono,0.02,alpha_base,6,1.0031987207417957e-06,1.6695469187492796e-06,1.6376289284135304,1.0,0.6039722222222222
bnn-phy-mono,0.02,alpha_slope,6,5.06930084240034e-10,8.427068194918761e-10,1.6517444034903672,1.0,0.6039722222222222
bnn-phy-mono,0.02,SS316_k_ref,6,2.136177088722494,3.515175909310337,1.5495680562982592,1.0,0.6039722222222222
bnn-phy-mono,0.03,E_intercept,6,13525127422.329262,22011586694.901608,1.104395044663919,1.0,0.6105833333333334
bnn-phy-mono,0.03,alpha_base,6,9.80780005761126e-07,1.6239007452224995e-06,1.5928554072867092,1.0,0.6105833333333334
bnn-phy-mono,0.03,alpha_slope,6,4.982382830556837e-10,8.174685644260915e-10,1.6022762544324207,1.0,0.6105833333333334
bnn-phy-mono,0.03,SS316_k_ref,6,2.0885220830499147,3.470465898027618,1.5298588846755994,1.0,0.6105833333333334
bnn-phy-mono,0.05,E_intercept,6,13500386219.538996,22202594983.745205,1.1139785704048175,1.0,0.6184166666666666
bnn-phy-mono,0.05,alpha_base,6,9.83055370057219e-07,1.6175245901930943e-06,1.586601150032277,1.0,0.6184166666666666
bnn-phy-mono,0.05,alpha_slope,6,5.120962989779712e-10,8.469212001032836e-10,1.6600047847143713,1.0,0.6184166666666666
bnn-phy-mono,0.05,SS316_k_ref,6,2.1492739003076955,3.53781563367464,1.559548152482181,1.0,0.6184166666666666
bnn-phy-mono,0.1,E_intercept,6,14016242760.416153,23221145428.632305,1.1650826584319696,1.0,0.6546944444444445
bnn-phy-mono,0.1,alpha_base,6,9.532525632187392e-07,1.5470243971777482e-06,1.5174487624928126,1.0,0.6546944444444445
bnn-phy-mono,0.1,alpha_slope,6,4.928141196556409e-10,8.133858299749104e-10,1.5942739057807962,0.8333333333333334,0.6546944444444445
bnn-phy-mono,0.1,SS316_k_ref,6,2.1743571815507106,3.590331970785473,1.5826985268930882,1.0,0.6546944444444445
