model_id,model_label,output,output_label,RMSE,MAE,R2,CRPS,NLL,IS_90,IS_95,ECE,sharpness
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_keff,$k_{\mathrm{eff}}$,0.0002707836331848275,0.00021208994953172999,0.8562639013769732,0.0001748243708545325,-6.501501633395523,0.0017267218597028671,0.002057516000744717,0.1522222222222222,0.0005248861757088751
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_fuel_temp,Max fuel temp,4.49653002602561,3.5159657874824304,0.5895376381256276,2.623864849565053,3.351590097035208,24.776888502670545,33.64307189162007,0.18340996168582377,2.7004234003013248
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_monolith_temp,Max monolith temp,5.060690457279006,3.9385993883371633,0.5903092160059765,2.9511280960863764,3.472267819951301,28.290038280540276,38.417846700969015,0.18226053639846743,3.031506374506117
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_max_global_stress,Max stress,7.659374752150975,5.888262282838974,0.9336884975416496,4.519251469795018,3.5916640229679286,40.297829461978644,47.685489740437276,0.11812260536398463,11.747224067437799
mc-dropout,MC-Dropout (Gal & Ghahramani 2016),iteration2_wall2,Wall expansion,0.0008085641052822095,0.0006375819844611976,0.9988738145650647,0.002047473953461571,-3.8306859151796058,0.028399405294217542,0.033839978613893505,0.19666666666666668,0.00863280623542544
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_keff,$k_{\mathrm{eff}}$,0.00029636585353783675,0.00022901614449324524,0.8278221189677459,0.00018406602358848274,-6.47627885637691,0.001739480620504581,0.0020598793322350708,0.14149425287356318,0.0005254890774736522
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_fuel_temp,Max fuel temp,4.494468919151504,3.524773688905099,0.5899138450654722,2.63393847703109,3.3256071534507465,24.65786174485569,32.707956785582,0.18992337164750958,2.676862912259403
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_monolith_temp,Max monolith temp,5.061448661289456,3.9637935333348935,0.590186445222949,2.9617681275548375,3.4385498344051233,27.661747451581753,36.71879153552426,0.18455938697318008,3.051738130267915
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_max_global_stress,Max stress,7.643995175365645,5.8927454183363,0.9339545294265927,4.502348870090574,3.585496434308839,39.820586630813494,47.22595149158879,0.11160919540229884,11.470132483003809
deep-ensemble,Deep Ensemble (Lakshminarayanan 2017),iteration2_wall2,Wall expansion,0.0005916234740795234,0.0004649873458019841,0.9993970632085356,0.002014160986444462,-3.8410244785955556,0.028123140454297344,0.033510788753126276,0.19666666666666668,0.008548827687002205
