rmse_mean,nll_mean,r2_mean,model_id,train_frac,n_train,seed,train_time_sec,val_rmse_best
4.953025542550703,1.6361565893230514,0.7724853518833849,bnn-baseline,0.25,507,2026,14.604163885116577,5.203839148986865
4.887975250821693,3.4242253340000204,0.7719281759808894,bnn-baseline,0.25,507,2027,9.479604482650757,5.148073604705926
4.603523049153619,7.4219829893978115,0.7849863548310089,bnn-baseline,0.5,1014,2026,27.998631954193115,4.726535162960188
4.721059621189169,13.4984783997553,0.7799021667640507,bnn-baseline,0.5,1014,2027,29.887504816055298,4.834037935089875
4.6100184251096,3.317400463903852,0.7846191840449749,bnn-baseline,0.75,1522,2026,27.247719764709473,4.725826343968085
4.762225001897078,3.2945545685867157,0.7801497697733741,bnn-baseline,0.75,1522,2027,39.12550759315491,4.700999750150639
4.718606072686606,6.160362876181688,0.7833640450479471,bnn-baseline,1.0,2029,2026,38.63854694366455,4.675807692526587
4.601724960266897,4.920913836477325,0.7841657677642755,bnn-baseline,1.0,2029,2027,22.76156449317932,4.712747376830675
4.923101615926906,1.9043360542258876,0.7660929733758528,bnn-phy-mono,0.25,507,2026,52.16223907470703,5.00277398289301
4.94000679196867,4.141909431100824,0.770076010551824,bnn-phy-mono,0.25,507,2027,61.641494035720825,5.064134942470343
4.580811007682064,5.529144899282098,0.7830444829913871,bnn-phy-mono,0.5,1014,2026,107.64476490020752,4.72891070036734
4.769060849641299,8.248093698272527,0.7809605531800465,bnn-phy-mono,0.5,1014,2027,80.93294858932495,4.819875145617633
4.732661612214485,2.2989382066812847,0.7770476647830271,bnn-phy-mono,0.75,1522,2026,58.420581102371216,4.88323512942313
4.807834747107183,2.4617033902607344,0.7739401747212994,bnn-phy-mono,0.75,1522,2027,84.16889834403992,4.7188630479706974
4.625185314794015,3.958507505113935,0.7822082204490831,bnn-phy-mono,1.0,2029,2026,93.42579436302185,4.766986484331926
4.607692214220269,4.487140190107603,0.7793578051199536,bnn-phy-mono,1.0,2029,2027,110.97620940208435,4.711284714313529
