sigma_k,threshold_MPa,P_exceed,stress_mean,stress_std,stress_p5,stress_p50,stress_p95,stress_pred_mu_mean,stress_pred_sigma_mean,stress_pred_epistemic_mean,stress_pred_aleatoric_mean,keff_mean,keff_std,sample_source
0.5,110.0,0.99625,162.3528547476097,20.479389047744647,129.27691966726272,162.19487439789071,196.42181049651037,162.50830153663574,12.4819769089705,4.0827276095228715,11.770929509478064,1.103546318334543,0.0012752345210780927,predictive
0.5,120.0,0.98255,162.3528547476097,20.479389047744647,129.27691966726272,162.19487439789071,196.42181049651037,162.50830153663574,12.4819769089705,4.0827276095228715,11.770929509478064,1.103546318334543,0.0012752345210780927,predictive
0.5,131.0,0.9402,162.3528547476097,20.479389047744647,129.27691966726272,162.19487439789071,196.42181049651037,162.50830153663574,12.4819769089705,4.0827276095228715,11.770929509478064,1.103546318334543,0.0012752345210780927,predictive
0.5,150.0,0.7206,162.3528547476097,20.479389047744647,129.27691966726272,162.19487439789071,196.42181049651037,162.50830153663574,12.4819769089705,4.0827276095228715,11.770929509478064,1.103546318334543,0.0012752345210780927,predictive
0.5,180.0,0.19235,162.3528547476097,20.479389047744647,129.27691966726272,162.19487439789071,196.42181049651037,162.50830153663574,12.4819769089705,4.0827276095228715,11.770929509478064,1.103546318334543,0.0012752345210780927,predictive
0.5,200.0,0.0358,162.3528547476097,20.479389047744647,129.27691966726272,162.19487439789071,196.42181049651037,162.50830153663574,12.4819769089705,4.0827276095228715,11.770929509478064,1.103546318334543,0.0012752345210780927,predictive
1.0,110.0,0.9559,163.57000586657145,33.379245917539684,111.94393576976957,161.7619007926959,221.6325619207076,163.55642648002149,13.895282103655228,7.118349495450074,11.770929509478064,1.103534421279047,0.0014176167414607756,predictive
1.0,120.0,0.91065,163.57000586657145,33.379245917539684,111.94393576976957,161.7619007926959,221.6325619207076,163.55642648002149,13.895282103655228,7.118349495450074,11.770929509478064,1.103534421279047,0.0014176167414607756,predictive
1.0,131.0,0.8343,163.57000586657145,33.379245917539684,111.94393576976957,161.7619007926959,221.6325619207076,163.55642648002149,13.895282103655228,7.118349495450074,11.770929509478064,1.103534421279047,0.0014176167414607756,predictive
1.0,150.0,0.63855,163.57000586657145,33.379245917539684,111.94393576976957,161.7619007926959,221.6325619207076,163.55642648002149,13.895282103655228,7.118349495450074,11.770929509478064,1.103534421279047,0.0014176167414607756,predictive
1.0,180.0,0.2996,163.57000586657145,33.379245917539684,111.94393576976957,161.7619007926959,221.6325619207076,163.55642648002149,13.895282103655228,7.118349495450074,11.770929509478064,1.103534421279047,0.0014176167414607756,predictive
1.0,200.0,0.14325,163.57000586657145,33.379245917539684,111.94393576976957,161.7619007926959,221.6325619207076,163.55642648002149,13.895282103655228,7.118349495450074,11.770929509478064,1.103534421279047,0.0014176167414607756,predictive
1.5,110.0,0.8869,162.45914865878544,43.873689763755536,94.93738724092272,160.35413162404404,237.84292382527534,162.30205651015717,16.3708805434876,11.025152971620717,11.770929509478064,1.103540602574038,0.0015873022237592354,predictive
1.5,120.0,0.82525,162.45914865878544,43.873689763755536,94.93738724092272,160.35413162404404,237.84292382527534,162.30205651015717,16.3708805434876,11.025152971620717,11.770929509478064,1.103540602574038,0.0015873022237592354,predictive
1.5,131.0,0.7478,162.45914865878544,43.873689763755536,94.93738724092272,160.35413162404404,237.84292382527534,162.30205651015717,16.3708805434876,11.025152971620717,11.770929509478064,1.103540602574038,0.0015873022237592354,predictive
1.5,150.0,0.58675,162.45914865878544,43.873689763755536,94.93738724092272,160.35413162404404,237.84292382527534,162.30205651015717,16.3708805434876,11.025152971620717,11.770929509478064,1.103540602574038,0.0015873022237592354,predictive
1.5,180.0,0.3373,162.45914865878544,43.873689763755536,94.93738724092272,160.35413162404404,237.84292382527534,162.30205651015717,16.3708805434876,11.025152971620717,11.770929509478064,1.103540602574038,0.0015873022237592354,predictive
1.5,200.0,0.20115,162.45914865878544,43.873689763755536,94.93738724092272,160.35413162404404,237.84292382527534,162.30205651015717,16.3708805434876,11.025152971620717,11.770929509478064,1.103540602574038,0.0015873022237592354,predictive
2.0,110.0,0.8398,163.31774079740978,53.40693352227628,83.23963703388725,159.59699320615715,254.45870157281544,163.28846782870824,19.009027664990576,14.526852769457534,11.770929509478064,1.1035569250829222,0.0017319731254537738,predictive
2.0,120.0,0.7766,163.31774079740978,53.40693352227628,83.23963703388725,159.59699320615715,254.45870157281544,163.28846782870824,19.009027664990576,14.526852769457534,11.770929509478064,1.1035569250829222,0.0017319731254537738,predictive
2.0,131.0,0.7028,163.31774079740978,53.40693352227628,83.23963703388725,159.59699320615715,254.45870157281544,163.28846782870824,19.009027664990576,14.526852769457534,11.770929509478064,1.1035569250829222,0.0017319731254537738,predictive
2.0,150.0,0.56655,163.31774079740978,53.40693352227628,83.23963703388725,159.59699320615715,254.45870157281544,163.28846782870824,19.009027664990576,14.526852769457534,11.770929509478064,1.1035569250829222,0.0017319731254537738,predictive
2.0,180.0,0.3657,163.31774079740978,53.40693352227628,83.23963703388725,159.59699320615715,254.45870157281544,163.28846782870824,19.009027664990576,14.526852769457534,11.770929509478064,1.1035569250829222,0.0017319731254537738,predictive
2.0,200.0,0.24565,163.31774079740978,53.40693352227628,83.23963703388725,159.59699320615715,254.45870157281544,163.28846782870824,19.009027664990576,14.526852769457534,11.770929509478064,1.1035569250829222,0.0017319731254537738,predictive
