model_id,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi,S1_ci_spans_zero,ST_ci_spans_zero
bnn-baseline,iteration2_max_global_stress,E_slope,0.047318567958728505,0.041295806967587605,0.053341328949869406,0.05483592884381785,0.05403155855350334,0.055640299134132355,False,False
bnn-baseline,iteration2_max_global_stress,E_intercept,0.5996422950263051,0.5953470389685563,0.6039375510840538,0.613800995758532,0.6087689342889488,0.6188330572281151,False,False
bnn-baseline,iteration2_max_global_stress,nu,0.055900177213810416,0.049734711130011065,0.06206564329760977,0.06590715171172454,0.06500012626080054,0.06681417716264854,False,False
bnn-baseline,iteration2_max_global_stress,alpha_base,0.1478265863084706,0.14187189420916868,0.1537812784077725,0.16037582237961612,0.1582759984047388,0.16247564635449344,False,False
bnn-baseline,iteration2_max_global_stress,alpha_slope,0.027049874642499083,0.020333117849767858,0.03376663143523031,0.034790125839038226,0.034233472106233634,0.03534677957184282,False,False
bnn-baseline,iteration2_max_global_stress,SS316_T_ref,0.030813952506044007,0.023906580327789983,0.03772132468429803,0.04013677134702864,0.039364657556750844,0.04090888513730643,False,False
bnn-baseline,iteration2_max_global_stress,SS316_k_ref,0.060027086784849255,0.05417984575488548,0.06587432781481303,0.0785724817584828,0.07695118436994104,0.08019377914702457,False,False
bnn-baseline,iteration2_max_global_stress,SS316_alpha,0.0032775626328820627,-0.0028136374241056476,0.009368762689869773,0.008898375949801102,0.008559256481278414,0.00923749541832379,True,False
bnn-baseline,iteration2_keff,E_slope,0.00454190773649255,-0.001383289260563551,0.01046710473354865,0.002651672016182357,0.0024957071125113087,0.0028076369198534053,True,False
bnn-baseline,iteration2_keff,E_intercept,0.0032329110391271978,-0.0031280085810322933,0.009593830659286689,0.005328036755603156,0.005122708565833959,0.005533364945372353,True,False
bnn-baseline,iteration2_keff,nu,0.028822990303181615,0.022684702419015206,0.034961278187348024,0.02826227962633617,0.02780811125308741,0.028716447999584935,False,False
bnn-baseline,iteration2_keff,alpha_base,0.7868724057136995,0.7850459218871133,0.7886988895402858,0.7909207432248686,0.7848692607780455,0.7969722256716917,False,False
bnn-baseline,iteration2_keff,alpha_slope,0.17512544213681283,0.16959811010039813,0.18065277417322753,0.18006540525331302,0.17856463400508016,0.18156617650154588,False,False
bnn-baseline,iteration2_keff,SS316_T_ref,0.008323174549157224,0.0021171243605578142,0.014529224737756634,0.007109413102735652,0.00686084853555824,0.007357977669913063,False,False
bnn-baseline,iteration2_keff,SS316_k_ref,0.007233865233984158,0.0005359192051222171,0.0139318112628461,0.005335954694439136,0.005129167572512951,0.005542741816365321,False,False
bnn-baseline,iteration2_keff,SS316_alpha,0.008842532555675646,0.002156177210256921,0.015528887901094371,0.006332145773746876,0.0060912849232460054,0.006573006624247747,False,False
